metric,baseline_mean,rotation_only_mean,full_long_mean,tuned_v1_mean,full_loss_v1_mean,baseline_last5,rotation_only_last5,full_long_last5,tuned_v1_last5,full_loss_v1_last5,baseline_last,rotation_only_last,full_long_last,tuned_v1_last,full_loss_v1_last
rot_error,0.912252438813448,1.126651519164443,1.0705750156193972,1.0272498920559883,1.0689342051744462,1.1881964653730392,1.3930541530251503,1.2274085775017738,1.4029653161764144,1.193734347820282,3.641139507293701,2.5821728706359863,2.885847806930542,3.3818955421447754,2.5144927501678467
tr_error,0.04814828002126888,0.05658518504351377,0.053394943848252295,0.052337124943733215,0.0520637130481191,0.06065527736209333,0.0729207567870617,0.06315738083794713,0.06833108752034604,0.05562520422972739,0.15875032544136047,0.1179443821310997,0.10332318395376205,0.16254083812236786,0.09539752453565598
residual,6.348337697982788,6.350308096408844,6.372945427894592,6.33744078874588,6.469003283977509,6.209673118591309,6.26398491859436,6.424851036071777,6.297094869613647,6.480905675888062,8.672861099243164,8.354166984558105,8.867837905883789,8.73292064666748,8.835189819335938
f_error,17.73982901573181,18.85679633617401,18.227515959739684,17.341918182373046,18.48107831478119,17.77533483505249,19.93074016571045,18.854073810577393,18.290810203552248,16.118433284759522,25.96803855895996,23.55167579650879,19.933725357055664,28.73389434814453,17.386653900146484
1px,0.5122260704636574,0.5036805465817451,0.5072695016860962,0.5061532840132713,0.5042429938912392,0.516877555847168,0.4957518517971039,0.5104084193706513,0.5051552534103394,0.5061007618904114,0.38520002365112305,0.41541263461112976,0.4297163784503937,0.4008580446243286,0.39777588844299316
imu_rot_loss,0.0,0.29087845534086226,0.2902735538780689,0.28887186869978904,0.29162285700440405,0.0,0.2799935758113861,0.28162608444690707,0.2791468232870102,0.2804276436567307,0.0,0.29656320810317993,0.3018200397491455,0.29457223415374756,0.28871792554855347
imu_full_loss,,,,,1.0115149796009064,,,,,1.0308930158615113,,,,,1.1219176054000854
imu_pos_loss,,,,,0.18195772022008896,,,,,0.20152193158864976,,,,,0.25717511773109436
imu_vel_loss,,,,,8.816689085960387,,,,,9.179290676116944,,,,,10.157815933227539
imu_bias_loss,,,,,0.0004029197352792835,,,,,0.0004121071789995767,,,,,0.0005028870073147118
imu_pos_error,,,,,0.0681951092556119,,,,,0.07091992348432541,,,,,0.07495766878128052
imu_vel_error,,,,,4.823060488700866,,,,,5.126523828506469,,,,,5.785865783691406
imu_rot_error,0.0,10.440625286102295,10.398883056640624,10.36349081993103,10.396425437927245,0.0,10.094532012939453,10.115122032165527,10.082234764099121,10.090277862548827,0.0,10.64212417602539,10.508551597595215,10.372243881225586,10.27017879486084
imu_bias_error,,,,,0.0033966856717597693,,,,,0.003441228554584086,,,,,0.004180927760899067
imu_conf_mean,,0.46160850673913956,0.6117667227983474,0.3558966130018234,0.3059028536081314,,0.4615915536880493,0.5956191539764404,0.3552721977233887,0.2983222484588623,,0.4739009737968445,0.6674005389213562,0.36481010913848877,0.319330096244812
imu_conf_min,,0.44075570404529574,0.5122675627470017,0.3446070343255997,0.2691213756799698,,0.4410750508308411,0.4942358911037445,0.34425448179244994,0.26371103525161743,,0.44628390669822693,0.5772663354873657,0.3488669693470001,0.28284621238708496
imu_conf_max,,0.48501940816640854,0.7147407799959182,0.3689122945070267,0.349761663377285,,0.48459545969963075,0.7023114681243896,0.36721269488334657,0.3426078140735626,,0.5031750798225403,0.7571444511413574,0.3800978362560272,0.3727017045021057
imu_ba_weight,,0.02001061476767063,0.021069440990686417,0.049991413950920105,0.05032253637909889,,0.02001061476767063,0.021069440990686417,0.049991413950920105,0.05032253637909889,,0.02001061476767063,0.021069440990686417,0.049991413950920105,0.05032253637909889
imu_bias_norm,,0.0007865550578571856,0.07116784900426865,9.646811122365762e-06,4.6789583052486705e-07,,0.0007865550578571856,0.07116784900426865,9.646811122365762e-06,4.6789583052486705e-07,,0.0007865550578571856,0.07116784900426865,9.646811122365762e-06,4.6789583052486705e-07
imu_acc_bias_norm,,,1.283451400713176e-10,1.31477477793851e-07,9.907926701302472e-10,,,1.283451400713176e-10,1.31477477793851e-07,9.907926701302472e-10,,,1.283451400713176e-10,1.31477477793851e-07,9.907926701302472e-10
